tenure,monthly_charges,total_charges,senior_citizen,dependents,tech_support,online_security,num_services,contract,internet_service,payment_method,churn
31,117.56,3741.15,0,0,0,0,8,Month-to-month,Fiber optic,Electronic check,0
24,26.53,643.51,0,0,0,0,2,One year,DSL,Bank transfer,0
60,102.18,6126.0,0,0,1,1,3,One year,Fiber optic,Credit card,0
45,84.63,3798.45,0,1,0,0,8,Month-to-month,No,Electronic check,0
3,84.73,232.38,0,1,1,1,1,Month-to-month,DSL,Mailed check,0
37,32.83,1267.12,0,0,0,0,4,Month-to-month,Fiber optic,Electronic check,0
43,85.02,3602.43,1,1,0,1,5,Month-to-month,Fiber optic,Electronic check,0
40,118.25,4747.27,0,0,1,1,8,Month-to-month,DSL,Bank transfer,0
55,111.18,6095.69,1,0,1,0,1,Month-to-month,Fiber optic,Bank transfer,0
39,63.91,2454.38,1,0,0,0,1,Month-to-month,DSL,Credit card,0
15,23.99,489.15,0,0,0,0,1,Two year,Fiber optic,Mailed check,1
4,56.23,245.87,0,0,1,0,2,Month-to-month,No,Credit card,0
25,102.64,2596.66,0,0,1,1,4,One year,DSL,Electronic check,1
13,90.15,1228.84,1,1,1,0,1,Month-to-month,No,Electronic check,0
33,65.93,2104.62,0,0,1,1,4,Month-to-month,Fiber optic,Electronic check,0
16,25.51,495.77,0,0,1,1,6,Month-to-month,Fiber optic,Credit card,1
42,62.69,2507.53,0,0,0,0,7,Month-to-month,Fiber optic,Electronic check,0
66,66.9,4376.96,0,0,1,0,7,Month-to-month,DSL,Electronic check,0
55,112.86,6184.35,0,0,1,1,1,Two year,No,Bank transfer,0
42,84.11,3561.71,0,0,1,0,2,Two year,Fiber optic,Electronic check,0
34,51.17,1750.72,0,0,0,1,8,Month-to-month,Fiber optic,Electronic check,1
30,72.53,2167.56,0,0,1,0,1,Month-to-month,Fiber optic,Electronic check,1
13,26.61,345.33,0,1,1,0,7,Two year,Fiber optic,Electronic check,1
13,117.26,1475.48,0,1,1,0,6,Month-to-month,No,Bank transfer,0
18,56.01,933.32,0,0,0,0,3,One year,Fiber optic,Mailed check,0
32,67.79,2205.61,0,0,1,1,2,Two year,No,Electronic check,0
39,55.53,2200.36,0,0,1,0,7,Two year,Fiber optic,Electronic check,0
46,88.25,4138.72,0,1,1,0,1,Month-to-month,DSL,Credit card,0
29,86.22,2460.88,0,0,1,1,1,Month-to-month,No,Mailed check,0
62,91.53,5709.5,1,0,1,0,1,Month-to-month,Fiber optic,Bank transfer,0
62,46.81,2888.03,0,0,0,0,3,Two year,Fiber optic,Mailed check,0
57,51.57,2999.01,0,1,0,1,8,Two year,No,Electronic check,0
16,32.53,571.58,1,0,0,0,3,One year,DSL,Credit card,1
56,85.55,4801.36,0,0,1,1,7,One year,Fiber optic,Mailed check,0
10,23.98,222.82,0,0,0,0,8,One year,DSL,Electronic check,0
30,79.77,2441.15,0,0,1,0,1,One year,Fiber optic,Mailed check,1
25,106.97,2706.6,0,1,1,1,7,Two year,No,Electronic check,0
5,109.08,511.18,0,1,1,1,3,One year,No,Electronic check,0
65,64.9,4152.11,0,1,1,0,1,Month-to-month,Fiber optic,Credit card,0
49,65.93,3216.14,1,0,1,1,3,Month-to-month,No,Credit card,0
3,27.7,158.87,1,0,1,0,4,One year,No,Electronic check,0
45,87.08,3975.92,0,0,0,1,6,Month-to-month,Fiber optic,Mailed check,0
14,102.13,1374.2,1,0,0,1,7,Month-to-month,DSL,Bank transfer,1
30,44.47,1275.71,0,1,0,0,8,Two year,Fiber optic,Electronic check,0
68,62.13,4288.57,0,0,0,0,1,One year,No,Bank transfer,0
18,103.88,1813.06,0,0,1,1,6,Two year,No,Bank transfer,0
62,107.71,6703.48,0,1,0,0,1,Month-to-month,Fiber optic,Bank transfer,0
37,44.32,1609.04,0,1,1,0,5,One year,No,Bank transfer,0
25,75.06,1957.35,0,0,0,0,5,Month-to-month,DSL,Bank transfer,0
48,39.25,1845.48,0,0,1,1,2,Two year,DSL,Credit card,0
65,30.19,2019.52,0,0,0,1,4,Month-to-month,No,Mailed check,0
53,111.11,5898.07,1,1,0,0,8,One year,DSL,Credit card,0
15,102.05,1543.36,0,0,0,1,8,One year,DSL,Electronic check,0
49,96.0,4605.48,0,1,1,1,4,Month-to-month,Fiber optic,Electronic check,0
68,24.88,1581.69,1,0,0,0,2,Two year,Fiber optic,Electronic check,1
12,104.37,1241.41,0,0,1,1,5,Two year,Fiber optic,Bank transfer,0
59,63.8,3776.55,0,0,1,1,7,Month-to-month,DSL,Electronic check,0
37,54.24,1950.62,0,0,0,0,2,Month-to-month,No,Credit card,0
61,74.65,4499.22,1,1,0,1,5,Month-to-month,No,Bank transfer,0
43,29.14,1281.09,0,0,1,1,7,Month-to-month,Fiber optic,Electronic check,0
70,95.66,6724.34,0,0,0,0,1,Two year,Fiber optic,Bank transfer,0
39,78.24,3044.47,0,0,1,0,8,Two year,Fiber optic,Credit card,0
56,38.66,2203.97,0,1,0,1,6,Month-to-month,Fiber optic,Bank transfer,0
63,38.82,2386.95,0,0,1,0,2,Month-to-month,Fiber optic,Electronic check,0
46,38.42,1749.52,0,1,1,1,3,Month-to-month,Fiber optic,Credit card,1
11,25.7,365.09,0,0,1,0,6,Month-to-month,Fiber optic,Bank transfer,0
62,78.78,4887.78,0,0,0,1,5,Month-to-month,DSL,Mailed check,0
25,104.03,2607.07,0,0,1,1,1,Month-to-month,Fiber optic,Electronic check,0
71,21.75,1659.55,0,0,1,1,7,Month-to-month,Fiber optic,Mailed check,0
52,24.9,1224.83,0,0,1,0,3,One year,Fiber optic,Credit card,0
4,77.28,348.94,0,1,1,1,3,One year,Fiber optic,Electronic check,0
59,101.95,6098.25,0,0,1,0,7,Month-to-month,Fiber optic,Electronic check,0
72,52.67,3776.0,0,0,1,1,4,Two year,Fiber optic,Credit card,0
20,54.96,1142.18,0,0,1,0,5,One year,DSL,Electronic check,0
63,79.63,4967.59,0,0,0,1,1,Two year,Fiber optic,Credit card,0
54,47.42,2526.34,0,1,0,0,5,Month-to-month,No,Electronic check,0
57,22.66,1310.87,1,1,1,1,1,Two year,Fiber optic,Mailed check,0
41,93.52,3874.25,0,0,0,1,8,Two year,Fiber optic,Electronic check,0
3,82.56,303.73,0,0,1,1,7,Month-to-month,Fiber optic,Credit card,1
6,78.08,546.96,0,0,1,0,6,Month-to-month,No,Bank transfer,0
5,94.17,467.48,1,0,0,0,5,Two year,Fiber optic,Credit card,1
5,87.52,497.28,1,0,0,1,6,One year,No,Bank transfer,0
54,40.59,2174.74,0,1,0,0,8,Two year,No,Electronic check,0
47,55.25,2641.85,0,0,1,0,8,One year,Fiber optic,Electronic check,0
49,32.61,1608.26,0,0,0,0,3,One year,Fiber optic,Mailed check,0
9,32.99,319.19,0,0,0,1,4,Month-to-month,DSL,Bank transfer,1
20,87.62,1773.58,0,0,1,0,7,Month-to-month,Fiber optic,Credit card,1
61,105.86,6377.22,0,0,0,1,6,Two year,Fiber optic,Mailed check,0
35,116.27,4013.24,1,0,1,0,8,Month-to-month,No,Bank transfer,0
50,82.83,4146.63,0,1,1,1,7,Month-to-month,Fiber optic,Credit card,0
62,38.41,2297.06,1,0,0,0,2,One year,No,Electronic check,0
17,30.57,561.25,0,0,0,1,5,One year,DSL,Credit card,0
3,101.29,347.45,0,1,0,0,3,Month-to-month,Fiber optic,Mailed check,1
32,77.88,2508.52,0,1,0,0,7,Month-to-month,Fiber optic,Bank transfer,0
13,81.83,1007.73,0,0,0,0,2,Month-to-month,Fiber optic,Electronic check,0
68,98.15,6743.21,0,0,1,0,6,Month-to-month,No,Electronic check,0
14,90.33,1366.48,0,1,1,0,2,One year,DSL,Electronic check,0
11,103.45,1145.3,0,0,1,1,2,Month-to-month,DSL,Credit card,0
56,25.62,1460.25,0,0,0,0,6,Two year,Fiber optic,Credit card,0
67,94.75,6358.34,0,0,0,1,3,Two year,Fiber optic,Electronic check,1
29,105.09,3074.13,1,1,0,1,6,One year,No,Credit card,0
9,48.61,431.51,1,0,0,1,1,Month-to-month,No,Bank transfer,0
67,84.04,5628.95,0,0,1,0,2,Month-to-month,DSL,Credit card,0
25,51.42,1330.79,1,0,0,0,4,Month-to-month,Fiber optic,Electronic check,1
42,115.8,4980.88,0,1,0,0,7,Month-to-month,Fiber optic,Mailed check,0
9,23.34,140.06,0,0,1,0,1,Two year,No,Bank transfer,0
40,77.98,3114.01,0,1,1,0,3,Month-to-month,No,Electronic check,1
25,36.65,857.23,0,0,1,0,8,Two year,Fiber optic,Mailed check,0
5,91.22,535.7,0,0,0,0,2,Month-to-month,Fiber optic,Mailed check,1
11,37.59,384.1,0,1,0,1,3,Month-to-month,DSL,Electronic check,1
59,43.54,2496.7,0,0,0,0,3,Two year,Fiber optic,Electronic check,0
38,69.44,2670.63,0,1,0,0,2,One year,Fiber optic,Credit card,1
72,111.48,8113.78,0,1,1,0,3,Month-to-month,Fiber optic,Electronic check,0
5,41.17,239.03,0,1,1,1,7,Month-to-month,Fiber optic,Electronic check,0
48,34.42,1662.4,0,1,1,1,7,Month-to-month,Fiber optic,Mailed check,0
18,95.9,1746.66,0,1,0,1,4,One year,Fiber optic,Bank transfer,0
70,70.06,4974.94,1,0,0,1,4,Month-to-month,Fiber optic,Bank transfer,0
37,111.18,4069.95,0,0,1,1,8,One year,DSL,Bank transfer,0
60,34.66,2074.01,0,0,0,0,5,One year,DSL,Electronic check,0
48,84.59,4037.69,1,0,1,0,7,Two year,DSL,Mailed check,0
28,43.29,1153.73,1,1,1,1,2,Month-to-month,No,Bank transfer,0
69,35.68,2445.5,0,0,1,1,2,Month-to-month,DSL,Credit card,1
40,88.34,3588.99,0,0,1,1,7,One year,No,Bank transfer,0
45,79.37,3599.98,0,1,0,1,2,Month-to-month,DSL,Electronic check,0
62,95.48,5951.98,0,1,1,0,5,Month-to-month,Fiber optic,Mailed check,0
58,50.95,2962.42,0,1,0,1,6,Month-to-month,No,Electronic check,0
67,64.8,4367.77,0,1,0,0,8,Month-to-month,Fiber optic,Bank transfer,1
56,60.55,3350.77,0,0,0,0,8,Month-to-month,DSL,Electronic check,0
40,118.41,4720.92,0,1,0,0,4,Month-to-month,DSL,Electronic check,0
40,49.22,1978.4,0,0,0,1,4,Two year,No,Mailed check,0
33,49.48,1646.72,1,1,0,0,2,One year,Fiber optic,Mailed check,0
6,55.45,348.71,0,0,1,0,3,Month-to-month,Fiber optic,Mailed check,1
19,76.46,1445.82,0,1,1,1,1,Month-to-month,Fiber optic,Mailed check,0
40,45.23,1790.33,0,0,1,0,1,One year,Fiber optic,Bank transfer,1
59,111.53,6738.16,0,0,0,0,2,Two year,DSL,Mailed check,0
59,46.57,2792.97,0,1,0,1,2,Month-to-month,Fiber optic,Mailed check,0
48,109.58,5280.5,0,1,0,1,4,Two year,Fiber optic,Electronic check,0
41,30.35,1232.69,0,1,1,0,7,One year,DSL,Mailed check,0
13,85.66,1091.02,0,0,1,1,4,Month-to-month,No,Bank transfer,1
45,110.7,4974.96,0,0,0,1,3,Two year,No,Mailed check,0
53,36.87,1968.75,0,0,1,0,4,One year,No,Bank transfer,0
42,116.83,4812.84,0,0,1,0,1,Two year,DSL,Mailed check,0
63,65.29,4034.8,0,0,0,0,7,Month-to-month,DSL,Credit card,0
27,114.57,3061.55,0,1,0,1,1,One year,No,Mailed check,0
38,87.68,3342.2,0,0,1,1,4,One year,DSL,Mailed check,0
60,50.16,2997.64,1,1,1,0,1,Month-to-month,DSL,Bank transfer,0
7,38.83,345.72,0,0,0,1,6,One year,No,Electronic check,0
5,50.37,177.73,0,0,0,1,1,Month-to-month,DSL,Mailed check,0
45,29.3,1280.93,0,0,1,0,1,Month-to-month,Fiber optic,Bank transfer,1
58,34.39,2070.62,1,1,0,1,8,Month-to-month,Fiber optic,Electronic check,1
31,30.47,951.13,0,1,1,1,1,One year,No,Mailed check,0
23,62.29,1476.91,0,0,0,1,5,Two year,DSL,Bank transfer,0
42,99.56,4284.08,1,0,0,1,2,Month-to-month,No,Credit card,0
10,34.14,306.71,1,0,0,0,7,One year,Fiber optic,Credit card,0
32,33.03,1051.99,0,1,1,0,3,Month-to-month,Fiber optic,Electronic check,1
53,84.34,4456.4,0,1,1,1,5,Two year,DSL,Mailed check,0
30,39.72,1093.87,0,0,1,0,7,One year,DSL,Electronic check,0
39,29.76,1145.12,0,0,0,0,3,One year,Fiber optic,Electronic check,0
31,36.68,1181.13,0,0,1,0,5,One year,Fiber optic,Bank transfer,0
2,112.37,251.77,0,0,1,1,8,Month-to-month,No,Electronic check,1
12,102.15,1256.75,0,0,0,0,5,Month-to-month,Fiber optic,Electronic check,1
39,55.41,2142.21,0,0,1,0,3,Two year,Fiber optic,Credit card,0
66,85.58,5615.48,0,0,1,1,2,Month-to-month,Fiber optic,Credit card,0
13,73.73,1021.95,1,0,1,0,7,One year,No,Bank transfer,0
46,87.71,4009.79,1,0,1,1,4,Two year,Fiber optic,Credit card,1
27,88.27,2397.99,0,0,1,0,5,Month-to-month,DSL,Bank transfer,0
17,82.87,1416.96,0,0,1,0,7,Two year,No,Electronic check,0
60,46.61,2869.69,0,0,0,0,7,Two year,Fiber optic,Mailed check,0
64,23.9,1578.17,0,0,1,1,2,One year,Fiber optic,Mailed check,0
35,65.56,2229.84,0,0,0,1,4,Month-to-month,Fiber optic,Electronic check,0
70,109.1,7577.62,0,1,1,1,7,Month-to-month,Fiber optic,Credit card,0
30,76.95,2337.45,0,1,1,0,3,Month-to-month,DSL,Mailed check,1
71,103.24,7326.82,0,0,1,1,5,Two year,DSL,Electronic check,0
63,119.16,7484.32,0,0,1,0,4,Two year,No,Electronic check,0
28,36.36,1068.86,0,1,0,0,2,One year,DSL,Electronic check,1
60,89.18,5360.17,0,1,1,1,7,Month-to-month,Fiber optic,Credit card,0
37,87.43,3237.53,0,0,0,0,8,Month-to-month,DSL,Bank transfer,0
22,118.0,2634.99,0,0,0,1,4,One year,Fiber optic,Mailed check,0
68,118.56,8043.32,0,1,1,0,8,One year,DSL,Mailed check,0
20,88.67,1851.83,1,0,1,0,8,Two year,Fiber optic,Bank transfer,0
68,44.36,2977.08,0,1,0,1,3,One year,Fiber optic,Bank transfer,0
64,99.86,6423.89,0,0,0,0,4,Two year,DSL,Mailed check,0
17,30.7,593.59,0,1,0,0,1,One year,Fiber optic,Credit card,0
12,98.07,1107.98,0,0,1,0,5,One year,No,Credit card,0
22,111.02,2425.27,0,0,1,0,2,Month-to-month,Fiber optic,Credit card,1
17,58.28,1047.87,0,1,0,1,6,Two year,No,Bank transfer,0
10,83.06,888.46,1,0,1,1,8,One year,No,Credit card,0
65,63.01,4087.08,0,0,0,1,2,Month-to-month,No,Mailed check,0
22,63.78,1366.43,0,1,1,0,8,Month-to-month,No,Credit card,0
50,51.04,2599.8,0,0,0,0,5,Month-to-month,DSL,Credit card,0
14,96.21,1406.12,0,0,1,1,5,Month-to-month,No,Credit card,0
64,113.62,7213.45,0,0,0,0,1,Month-to-month,No,Credit card,0
47,114.08,5301.56,0,0,1,0,1,Month-to-month,No,Mailed check,0
29,37.48,1098.18,0,1,1,1,2,Month-to-month,DSL,Electronic check,1
36,107.47,3900.39,0,1,0,0,6,Month-to-month,No,Electronic check,1
52,93.74,4859.53,0,0,0,1,4,Two year,Fiber optic,Bank transfer,0
7,45.28,350.92,0,0,0,0,6,Month-to-month,Fiber optic,Electronic check,0
29,26.73,739.66,1,0,1,1,5,One year,DSL,Mailed check,0
11,46.8,409.07,0,1,0,0,1,Month-to-month,DSL,Mailed check,1
33,111.22,3649.06,0,1,1,1,8,Month-to-month,No,Bank transfer,0
6,83.32,503.08,0,1,1,0,1,Month-to-month,Fiber optic,Credit card,0
32,92.11,2933.73,0,1,0,1,1,Two year,Fiber optic,Bank transfer,0
51,45.72,2273.79,0,0,0,0,8,One year,No,Bank transfer,0
58,91.94,5241.74,0,0,1,1,4,Month-to-month,DSL,Bank transfer,0
26,22.81,567.36,0,0,0,1,7,One year,Fiber optic,Credit card,1
46,57.53,2691.26,0,0,0,0,2,Month-to-month,Fiber optic,Electronic check,0
29,82.68,2460.53,0,0,1,0,6,Two year,Fiber optic,Electronic check,0
4,34.61,197.83,0,1,0,1,8,Two year,DSL,Credit card,0
13,102.3,1289.1,0,0,0,0,7,One year,DSL,Bank transfer,1
39,43.5,1638.81,0,0,0,1,2,One year,DSL,Bank transfer,0
15,85.23,1303.28,1,0,1,0,1,Two year,Fiber optic,Mailed check,0
29,60.52,1786.84,0,1,0,1,4,One year,No,Mailed check,0
29,79.6,2328.41,0,0,1,0,4,One year,Fiber optic,Mailed check,0
32,30.75,883.3,0,0,0,1,2,Two year,DSL,Electronic check,1
2,21.69,0.04,0,0,0,0,5,One year,DSL,Mailed check,0
47,110.96,5213.64,0,1,1,0,1,One year,No,Mailed check,0
22,46.96,1057.48,0,0,0,0,4,Two year,No,Mailed check,0
27,101.97,2791.56,0,1,0,1,8,One year,Fiber optic,Bank transfer,0
67,119.94,8043.19,1,0,0,0,5,One year,DSL,Credit card,0
56,41.14,2320.38,0,1,1,0,8,Month-to-month,Fiber optic,Bank transfer,0
21,46.52,981.16,0,1,0,1,3,Month-to-month,Fiber optic,Credit card,1
47,86.29,4089.91,0,0,1,0,6,Month-to-month,Fiber optic,Mailed check,0
59,116.54,6891.5,0,0,1,1,1,Month-to-month,Fiber optic,Bank transfer,0
6,111.58,672.77,0,0,0,1,6,Month-to-month,Fiber optic,Electronic check,1
19,70.29,1322.09,1,1,0,1,3,Two year,No,Electronic check,1
57,99.51,5676.13,1,0,1,0,8,One year,DSL,Bank transfer,0
69,33.57,2340.56,0,0,1,1,2,One year,No,Mailed check,0
3,117.74,366.59,1,0,1,0,2,Month-to-month,Fiber optic,Credit card,1
1,116.44,135.48,0,1,0,1,8,Two year,Fiber optic,Mailed check,0
58,36.37,2176.6,0,0,0,0,6,One year,Fiber optic,Credit card,0
38,49.94,1910.98,0,0,1,0,2,One year,Fiber optic,Credit card,0
15,30.02,417.85,0,0,1,0,7,Month-to-month,Fiber optic,Electronic check,0
34,47.17,1647.96,0,0,1,1,6,Month-to-month,Fiber optic,Mailed check,0
61,101.6,6129.29,0,0,0,1,4,One year,DSL,Bank transfer,0
35,57.83,1969.98,0,1,1,0,4,One year,Fiber optic,Electronic check,0
64,28.84,1862.55,0,0,0,1,8,Two year,Fiber optic,Electronic check,0
25,54.22,1381.32,1,0,0,0,5,Two year,DSL,Credit card,0
24,118.14,2773.11,0,0,1,1,3,Two year,No,Credit card,0
12,82.97,976.5,0,1,1,1,2,One year,DSL,Bank transfer,0
18,61.62,1078.86,0,0,0,1,2,Two year,Fiber optic,Mailed check,0
15,36.65,525.42,0,1,1,0,8,Two year,DSL,Mailed check,0
27,118.62,3249.92,0,0,0,0,4,Month-to-month,Fiber optic,Mailed check,0
72,102.08,7385.09,0,0,0,1,4,Month-to-month,DSL,Mailed check,0
60,48.15,2888.04,0,1,1,0,4,Month-to-month,Fiber optic,Mailed check,0
46,27.01,1215.16,0,0,0,0,1,Month-to-month,DSL,Electronic check,0
17,25.66,368.74,0,1,0,1,3,Month-to-month,DSL,Credit card,0
53,32.04,1769.13,0,1,0,1,3,Month-to-month,Fiber optic,Bank transfer,1
8,78.08,654.25,0,0,0,0,1,One year,Fiber optic,Bank transfer,0
27,112.88,3012.43,1,0,0,0,2,Month-to-month,Fiber optic,Credit card,0
46,69.67,3240.8,0,0,1,0,6,Month-to-month,DSL,Electronic check,0
50,104.29,5210.99,0,1,1,1,7,One year,No,Electronic check,0
71,64.59,4571.53,0,0,0,1,7,Two year,DSL,Credit card,0
3,90.86,294.34,0,0,1,1,6,Two year,No,Credit card,0
64,93.19,5927.09,0,0,1,1,5,One year,Fiber optic,Bank transfer,0
44,37.4,1628.41,0,1,1,1,5,Month-to-month,Fiber optic,Electronic check,0
53,56.12,2980.43,0,0,0,0,2,Month-to-month,Fiber optic,Bank transfer,0
24,83.73,1984.55,0,0,0,0,5,Month-to-month,No,Electronic check,0
60,27.07,1657.65,0,0,1,1,4,Month-to-month,Fiber optic,Mailed check,1
3,56.15,261.9,0,1,0,0,3,Month-to-month,Fiber optic,Electronic check,0
20,73.48,1431.89,1,0,0,1,6,Two year,Fiber optic,Credit card,0
46,119.62,5419.26,0,0,1,1,8,Month-to-month,No,Mailed check,0
15,67.45,911.66,0,0,0,1,4,Month-to-month,Fiber optic,Credit card,0
25,101.61,2532.73,0,0,1,0,5,Month-to-month,DSL,Electronic check,1
71,63.21,4454.75,0,0,1,1,5,One year,DSL,Mailed check,0
17,99.64,1704.27,0,0,1,1,3,Month-to-month,DSL,Credit card,0
9,79.54,722.49,0,0,1,1,7,Month-to-month,DSL,Electronic check,0
38,108.66,4048.92,0,0,0,0,6,Month-to-month,DSL,Bank transfer,0
48,61.09,2841.58,0,0,1,1,7,Month-to-month,Fiber optic,Mailed check,1
60,80.43,4840.6,0,0,1,1,4,Month-to-month,DSL,Bank transfer,1
63,83.0,5235.77,0,1,0,0,3,Month-to-month,Fiber optic,Electronic check,1
2,61.74,102.19,0,0,1,0,8,Month-to-month,Fiber optic,Mailed check,1
72,34.43,2396.1,0,0,1,1,8,One year,DSL,Bank transfer,0
11,29.36,346.53,1,0,1,0,6,One year,DSL,Mailed check,0
64,21.67,1450.47,0,0,1,0,5,One year,DSL,Electronic check,0
72,107.35,7743.1,1,1,0,0,7,Month-to-month,DSL,Bank transfer,0
21,43.65,874.28,0,0,0,1,6,Month-to-month,No,Mailed check,0
18,41.15,742.93,0,0,0,0,3,Month-to-month,Fiber optic,Electronic check,1
64,93.6,5922.09,1,1,0,0,8,Month-to-month,DSL,Bank transfer,0
38,52.0,2028.9,1,1,0,0,3,Month-to-month,Fiber optic,Credit card,0
32,70.6,2263.29,0,1,1,1,5,Month-to-month,DSL,Electronic check,1
11,36.25,310.34,0,0,1,1,7,One year,Fiber optic,Bank transfer,0
45,115.97,5203.62,0,0,0,1,3,Two year,Fiber optic,Bank transfer,0
33,105.16,3493.45,0,1,1,1,4,One year,Fiber optic,Electronic check,0
41,106.38,4344.93,0,1,0,1,7,Month-to-month,DSL,Electronic check,1
8,60.68,471.65,0,0,1,0,5,One year,DSL,Mailed check,0
11,96.24,997.42,0,1,1,1,3,Month-to-month,Fiber optic,Credit card,0
51,34.39,1782.22,0,0,1,0,8,One year,No,Electronic check,0
41,20.86,822.84,1,0,0,1,2,Month-to-month,No,Credit card,0
17,22.0,266.18,0,0,0,0,4,Month-to-month,DSL,Bank transfer,0
46,78.66,3599.8,0,0,1,1,4,Two year,Fiber optic,Electronic check,0
32,65.54,2146.34,1,0,1,1,4,One year,Fiber optic,Mailed check,0
54,71.8,3857.85,0,0,1,1,6,Month-to-month,No,Credit card,0
20,20.75,501.9,0,0,0,1,1,Month-to-month,DSL,Electronic check,1
33,62.27,2076.36,0,0,0,1,8,Month-to-month,Fiber optic,Mailed check,1
40,91.81,3689.34,0,0,0,0,8,Two year,DSL,Bank transfer,0
32,64.27,2050.22,0,1,1,0,5,One year,Fiber optic,Electronic check,0
2,93.22,183.03,0,0,1,0,1,Two year,Fiber optic,Electronic check,0
33,43.3,1415.73,0,1,0,0,3,Month-to-month,Fiber optic,Electronic check,1
30,101.31,3024.19,0,0,0,0,5,One year,No,Electronic check,0
33,78.84,2628.26,0,1,1,0,6,One year,Fiber optic,Electronic check,1
26,41.08,1021.29,0,0,1,1,4,Month-to-month,Fiber optic,Credit card,1
22,43.67,906.95,0,1,0,1,4,Month-to-month,DSL,Credit card,1
66,82.8,5408.64,0,0,0,0,6,One year,Fiber optic,Electronic check,0
38,102.99,4015.9,0,0,0,0,7,One year,Fiber optic,Mailed check,0
46,61.56,2858.28,0,0,0,0,4,One year,DSL,Electronic check,0
15,45.83,702.67,0,1,1,0,4,One year,No,Electronic check,1
44,106.7,4641.92,0,1,0,1,3,One year,DSL,Electronic check,0
49,86.93,4290.74,0,0,1,0,7,One year,Fiber optic,Mailed check,0
61,64.81,3947.58,0,0,1,1,7,Month-to-month,No,Credit card,1
67,68.79,4619.64,0,1,0,0,2,Month-to-month,No,Mailed check,1
6,40.43,193.75,0,1,1,0,6,One year,No,Mailed check,0
9,82.68,752.13,0,0,1,1,5,Two year,DSL,Electronic check,0
6,55.87,314.03,0,1,0,0,7,Month-to-month,No,Electronic check,0
32,119.56,3787.64,0,0,0,0,2,Month-to-month,DSL,Credit card,1
41,68.02,2825.53,0,1,1,0,6,Month-to-month,No,Electronic check,0
8,68.59,471.83,1,1,1,1,5,Month-to-month,Fiber optic,Credit card,1
72,76.59,5542.72,0,0,0,0,6,Month-to-month,No,Electronic check,0
50,111.68,5618.22,0,0,0,1,4,One year,DSL,Bank transfer,0
62,100.08,6160.98,1,0,1,1,6,Month-to-month,Fiber optic,Credit card,0
62,65.11,3995.8,0,0,0,1,7,One year,No,Electronic check,0
7,91.87,631.94,0,1,1,0,1,Two year,No,Mailed check,0
4,78.62,328.58,0,1,1,1,7,Two year,DSL,Bank transfer,0
6,69.24,407.8,0,0,1,1,3,Month-to-month,No,Electronic check,1
58,39.23,2297.02,0,1,1,0,5,One year,DSL,Bank transfer,0
22,66.39,1548.73,0,0,1,0,4,Month-to-month,Fiber optic,Electronic check,0
26,44.58,1133.69,0,1,1,1,1,Month-to-month,Fiber optic,Electronic check,0
3,111.48,248.68,0,1,0,1,8,One year,DSL,Electronic check,0
41,53.54,2236.44,0,1,1,0,4,One year,DSL,Credit card,0
60,115.23,6997.97,0,0,1,1,7,Month-to-month,No,Electronic check,0
14,73.31,1045.98,0,0,1,1,3,Two year,Fiber optic,Electronic check,0
12,83.15,943.41,0,0,1,0,7,Two year,DSL,Bank transfer,0
12,74.29,885.29,0,0,1,0,7,One year,Fiber optic,Mailed check,0
13,32.94,372.29,0,0,0,1,1,One year,No,Mailed check,0
25,57.58,1471.64,0,1,1,0,6,Month-to-month,Fiber optic,Electronic check,0
45,29.91,1278.39,0,0,0,1,5,One year,DSL,Bank transfer,0
19,82.3,1548.69,0,0,1,1,6,Month-to-month,DSL,Bank transfer,0
55,64.69,3507.73,0,0,0,0,5,Two year,Fiber optic,Mailed check,0
45,97.8,4407.34,0,0,0,0,7,Month-to-month,Fiber optic,Electronic check,0
8,42.05,318.08,0,0,1,0,6,Month-to-month,Fiber optic,Bank transfer,1
53,36.46,1941.22,0,0,1,0,5,One year,No,Bank transfer,0
55,60.63,3335.77,0,0,1,1,5,Month-to-month,Fiber optic,Electronic check,1
32,112.66,3555.79,0,0,0,0,8,Month-to-month,DSL,Electronic check,0
51,91.04,4674.38,0,0,1,1,1,Month-to-month,No,Electronic check,0
44,61.89,2720.72,0,0,1,1,3,Two year,Fiber optic,Bank transfer,0
70,71.73,4971.67,1,1,0,1,1,Month-to-month,Fiber optic,Credit card,0
18,28.42,623.61,0,1,1,1,5,Month-to-month,No,Electronic check,1
22,118.46,2629.94,0,0,1,1,3,Month-to-month,No,Electronic check,1
37,86.64,3198.02,0,0,0,1,2,Month-to-month,Fiber optic,Electronic check,1
56,48.54,2789.0,0,1,1,0,2,Month-to-month,DSL,Electronic check,0
59,78.58,4728.31,0,0,1,1,7,One year,No,Mailed check,0
3,30.95,85.58,0,0,1,1,6,Month-to-month,Fiber optic,Credit card,0
28,116.58,3281.61,0,0,0,1,8,Month-to-month,Fiber optic,Electronic check,1
35,37.48,1262.4,0,1,1,1,1,Month-to-month,Fiber optic,Bank transfer,1
61,84.8,5165.44,0,1,1,0,5,Month-to-month,Fiber optic,Mailed check,1
54,44.55,2395.75,1,0,0,0,6,Month-to-month,No,Credit card,0
63,91.76,5790.12,0,0,0,0,2,One year,Fiber optic,Mailed check,0
7,97.68,700.4,0,0,1,0,2,Month-to-month,No,Electronic check,1
49,87.34,4307.65,0,1,1,0,7,Month-to-month,No,Credit card,0
